 a few seconds|بضع دقائق
 day|يوم
 days|ايام
 hour|ساعة
 hours|ساعات
 hr|سا
 hrs|سا
 lunar day|يوم هلالي
 min|د
 mins|د
 minute|دقيقة
 minutes|دقائق
%d bought|%d مشترى
%i more today|%i اليوم
%i more...|%i المزيد...
%i%% of Full|%i%% من ملئ
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 د)
(in|(في
(in seconds)|(في ثواني)
(No title)|(لا عنوان)
[ Loading images... ]|[ تحميل الصور... ]
[ Tap here for images load ]|[ انقر هنا لتحميل الصور ]
About|عن المنتج
Activate|تمكين
Activation|تنشيط
Activation failed. Check your Internet connection.|التنشيط فشل. تحقق من اتصالك بالانترنت.
Add|اضف
Add city|اضافة مدينة
Add new city|اضافة مدينة جديدة
Add Panel|اضافة لوحة
Add to Home screen|اضافة لشاشة البداية
Airplane|طائرة
Airplane Mode|وضع الطائرة
All day|يوم كامل
All pictures|جميع الصور
Android Shortcut|اختصار اندرويد
Android Widget|عنصر واجهة المستخدم اندرويد
Anniversary|ذكرى سنوية
Appearance|مظهر
Application|تطبيقات
April|أبريل
Aqua|اكوا
as of %s|اعتبارا من %s
at %s|SPB Mobile Shell 5 هنا %s
atm|جوي
Atmospheres|الغلاف الجوي
Atmospheric pressure scale|مقياس الضغط الجوي
August|أغسطس
Auto|تلقائي
Auto (keyboard only)|تلقائي (كيبورد فقط)
Auto arrange widgets|الترتيب التلقائي لعناصر واجهة المستخدم
Automatic|تلقائي
Automatic naming|تسمية تلقائية
Backlight|إضاءة الخلفية
Battery|بطارية
Birthday|عيد ميلاد
Birthdays|اعياد الميلاد
Black|اسود
Blue|ازرق
Bluetooth|بلوتوث
Bookmarks|إشارات مرجعية
Bookmarks Folder|مجلد إشارات مرجعية
Business|أعمال
Buy!|شراء
Calendar|تقويم
Calendar Panel|لوحة التقويم
Calendar Panel Settings|اعدادات لوحة التقويم
Call|اتصال
Call Log|سجل المكالمات
Cancel|الغاء
