 a few seconds|در عرض چند ثانیه
 day|روز
 days|روز
 hour|ساعت
 hours|ساعت
 hr| hr
 hrs|ساعت
 lunar day|روز قمری
 min|دقیقه
 mins| دقیقه
 minute|دقیقه
 minutes|دقیقه
%d bought|%d خریداری شد
%d day|%d روز
%d days|%d روز
%d hour|%d ساعت
%d hours|%d ساعت
%d minute|%d دقیقه
%d minutes|%d دقیقه
%d more...|%d بیشتر...
%i active channel|%i کانال فعال
%i active channels|%i کانال فعال
%i image|%i تصویر
%i images|%i تصویر
%i more today|امروز %i بیشتر
%i more...|%i بیشتر ...
%i page|%i صفحه
%i pages|%i صفحه
%i%% of Full|%i%% از ظرفیت کامل
%s 2007—2011 Yandex|%s 2007—2011 Yandex
(<1 min)|(<1 دقیقه)
(in|(به
(in seconds)|(به ثانیه)
(No title)|(بدون عنوان)
[ Loading images... ]|[ در حال بارگذاری تصاویر... ]
[ Tap here for images load ]|[ برای بارگذاری تصاویر اینجا ضربه بزنید ]
A few minutes ago|چند دقیقه پیش
About|درباره
Above horizon|بالای افق
Activate|فعال سازی
Activation|فعال سازی
Activation failed. Check your Internet connection.|فعال سازی ناموفق بود. اتصال اینترنت خود را وارسی کنید.
Active Channels|کانال های فعال
Active channels|کانال های فعال
Add|افزودن
Add category|افزودن دسته
Add city|افزودن شهر
Add custom channel|افزودن کانال سفارشی
Add new city|افزودن شهر جدید
Add note|افزودن یادداشت
Add Panel|افزودن پانل
Add to Home screen|افزودن به صفحه اصلی
Airplane|هواپیما
Airplane Mode|حالت هواپیما
All day|تمام روز
All pictures|همه عکس ها
Allow resizing of all Android widgets|اجازه تغییر اندازه تمامی ویجت های اندروید
An hour ago|یک ساعت پیش
Android Shortcut|میانبر آندروید
Android Widget|اسبابک آندروید
Anniversary|سالگرد
Appearance|ظاهر
Application|برنامه
April|آوریل
Aqua|آب
Aquarius|برج دلو
Aries|برج حمل
as of %s|در تاریخ %s
at %s|در %s
atm|atm
Atmospheres|اتمسفر
Atmospheric pressure scale|مقیاس فشار اتمسفر
August|آگوست
Auto|خودکار
Auto (keyboard only)|خودکار (فقط صفحه کلید)
Auto arrange widgets|چیدن خودکار اسبابک ها
Automatic|خودکار
Automatic naming|نام گذاری خودکار
Backlight|نور پشتی
Battery|باتری
Below horizon|زیر افق
Birthday|تولد
Birthdays|تاریخ های تولد
Black|مشکی
Blue|آبی
Bluetooth|بلوتوث
Bookmarks|نشانک ها
Bookmarks Folder|پوشه نشانک ها
Business|تجارت
Buy!|بخرید!
Cache size|اندازه حافظه پنهان
Calculator|ماشین حساب
Calendar|تقویم
Calendar Panel|پانل تقویم
Calendar Panel Settings|تنظیمات پانل تقویم
Call|تماس
Call Log|واقعه نگار تماس
Cancel|لغو
Cancer|برج سرطان
